set BUSES := 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96 97 98 99 100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118;
set LINE_IDS := 1 2;
set GENERATOR_IDS := 1;
set LINES := (1,2,1), (2,1,1), (1,3,1), (3,1,1), (4,5,1), (5,4,1), (3,5,1), (5,3,1), (5,6,1), (6,5,1), (6,7,1), (7,6,1), (8,9,1), (9,8,1), (8,5,1), (5,8,1), (9,10,1), (10,9,1), (4,11,1), (11,4,1), (5,11,1), (11,5,1), (11,12,1), (12,11,1), (2,12,1), (12,2,1), (3,12,1), (12,3,1), (7,12,1), (12,7,1), (11,13,1), (13,11,1), (12,14,1), (14,12,1), (13,15,1), (15,13,1), (14,15,1), (15,14,1), (12,16,1), (16,12,1), (15,17,1), (17,15,1), (16,17,1), (17,16,1), (17,18,1), (18,17,1), (18,19,1), (19,18,1), (19,20,1), (20,19,1), (15,19,1), (19,15,1), (20,21,1), (21,20,1), (21,22,1), (22,21,1), (22,23,1), (23,22,1), (23,24,1), (24,23,1), (23,25,1), (25,23,1), (26,25,1), (25,26,1), (25,27,1), (27,25,1), (27,28,1), (28,27,1), (28,29,1), (29,28,1), (30,17,1), (17,30,1), (8,30,1), (30,8,1), (26,30,1), (30,26,1), (17,31,1), (31,17,1), (29,31,1), (31,29,1), (23,32,1), (32,23,1), (31,32,1), (32,31,1), (27,32,1), (32,27,1), (15,33,1), (33,15,1), (19,34,1), (34,19,1), (35,36,1), (36,35,1), (35,37,1), (37,35,1), (33,37,1), (37,33,1), (34,36,1), (36,34,1), (34,37,1), (37,34,1), (38,37,1), (37,38,1), (37,39,1), (39,37,1), (37,40,1), (40,37,1), (30,38,1), (38,30,1), (39,40,1), (40,39,1), (40,41,1), (41,40,1), (40,42,1), (42,40,1), (41,42,1), (42,41,1), (43,44,1), (44,43,1), (34,43,1), (43,34,1), (44,45,1), (45,44,1), (45,46,1), (46,45,1), (46,47,1), (47,46,1), (46,48,1), (48,46,1), (47,49,1), (49,47,1), (42,49,1), (49,42,1), (42,49,2), (49,42,2), (45,49,1), (49,45,1), (48,49,1), (49,48,1), (49,50,1), (50,49,1), (49,51,1), (51,49,1), (51,52,1), (52,51,1), (52,53,1), (53,52,1), (53,54,1), (54,53,1), (49,54,1), (54,49,1), (49,54,2), (54,49,2), (54,55,1), (55,54,1), (54,56,1), (56,54,1), (55,56,1), (56,55,1), (56,57,1), (57,56,1), (50,57,1), (57,50,1), (56,58,1), (58,56,1), (51,58,1), (58,51,1), (54,59,1), (59,54,1), (56,59,1), (59,56,1), (56,59,2), (59,56,2), (55,59,1), (59,55,1), (59,60,1), (60,59,1), (59,61,1), (61,59,1), (60,61,1), (61,60,1), (60,62,1), (62,60,1), (61,62,1), (62,61,1), (63,59,1), (59,63,1), (63,64,1), (64,63,1), (64,61,1), (61,64,1), (38,65,1), (65,38,1), (64,65,1), (65,64,1), (49,66,1), (66,49,1), (49,66,2), (66,49,2), (62,66,1), (66,62,1), (62,67,1), (67,62,1), (65,66,1), (66,65,1), (66,67,1), (67,66,1), (65,68,1), (68,65,1), (47,69,1), (69,47,1), (49,69,1), (69,49,1), (68,69,1), (69,68,1), (69,70,1), (70,69,1), (24,70,1), (70,24,1), (70,71,1), (71,70,1), (24,72,1), (72,24,1), (71,72,1), (72,71,1), (71,73,1), (73,71,1), (70,74,1), (74,70,1), (70,75,1), (75,70,1), (69,75,1), (75,69,1), (74,75,1), (75,74,1), (76,77,1), (77,76,1), (69,77,1), (77,69,1), (75,77,1), (77,75,1), (77,78,1), (78,77,1), (78,79,1), (79,78,1), (77,80,1), (80,77,1), (77,80,2), (80,77,2), (79,80,1), (80,79,1), (68,81,1), (81,68,1), (81,80,1), (80,81,1), (77,82,1), (82,77,1), (82,83,1), (83,82,1), (83,84,1), (84,83,1), (83,85,1), (85,83,1), (84,85,1), (85,84,1), (85,86,1), (86,85,1), (86,87,1), (87,86,1), (85,88,1), (88,85,1), (85,89,1), (89,85,1), (88,89,1), (89,88,1), (89,90,1), (90,89,1), (89,90,2), (90,89,2), (90,91,1), (91,90,1), (89,92,1), (92,89,1), (89,92,2), (92,89,2), (91,92,1), (92,91,1), (92,93,1), (93,92,1), (92,94,1), (94,92,1), (93,94,1), (94,93,1), (94,95,1), (95,94,1), (80,96,1), (96,80,1), (82,96,1), (96,82,1), (94,96,1), (96,94,1), (80,97,1), (97,80,1), (80,98,1), (98,80,1), (80,99,1), (99,80,1), (92,100,1), (100,92,1), (94,100,1), (100,94,1), (95,96,1), (96,95,1), (96,97,1), (97,96,1), (98,100,1), (100,98,1), (99,100,1), (100,99,1), (100,101,1), (101,100,1), (92,102,1), (102,92,1), (101,102,1), (102,101,1), (100,103,1), (103,100,1), (100,104,1), (104,100,1), (103,104,1), (104,103,1), (103,105,1), (105,103,1), (100,106,1), (106,100,1), (104,105,1), (105,104,1), (105,106,1), (106,105,1), (105,107,1), (107,105,1), (105,108,1), (108,105,1), (106,107,1), (107,106,1), (108,109,1), (109,108,1), (103,110,1), (110,103,1), (109,110,1), (110,109,1), (110,111,1), (111,110,1), (110,112,1), (112,110,1), (17,113,1), (113,17,1), (32,113,1), (113,32,1), (32,114,1), (114,32,1), (27,115,1), (115,27,1), (114,115,1), (115,114,1), (68,116,1), (116,68,1), (12,117,1), (117,12,1), (75,118,1), (118,75,1), (76,118,1), (118,76,1);
set GENERATORS := (10,1), (12,1), (25,1), (26,1), (31,1), (46,1), (49,1), (54,1), (59,1), (61,1), (65,1), (66,1), (69,1), (80,1), (87,1), (89,1), (100,1), (103,1), (111,1);

param : bus_susceptance	upper_line_limit	:=
1 2 1	1001001	15100000
2 1 1	1001001	15100000
1 3 1	2358490	15100000
3 1 1	2358490	15100000
4 5 1	12531328	17600000
5 4 1	12531328	17600000
3 5 1	925925	17500000
5 3 1	925925	17500000
5 6 1	1851851	17600000
6 5 1	1851851	17600000
6 7 1	4807692	17600000
7 6 1	4807692	17600000
8 9 1	3278688	71100000
9 8 1	3278688	71100000
8 5 1	3745318	109900000
5 8 1	3745318	109900000
9 10 1	3105590	71000000
10 9 1	3105590	71000000
4 11 1	1453488	15100000
11 4 1	1453488	15100000
5 11 1	1466275	15200000
11 5 1	1466275	15200000
11 12 1	5102040	15100000
12 11 1	5102040	15100000
2 12 1	1623376	15100000
12 2 1	1623376	15100000
3 12 1	625000	15100000
12 3 1	625000	15100000
7 12 1	2941176	16400000
12 7 1	2941176	16400000
11 13 1	1367989	15100000
13 11 1	1367989	15100000
12 14 1	1414427	15100000
14 12 1	1414427	15100000
13 15 1	409165	11500000
15 13 1	409165	11500000
14 15 1	512820	14400000
15 14 1	512820	14400000
12 16 1	1199040	16400000
16 12 1	1199040	16400000
15 17 1	2288329	15100000
17 15 1	2288329	15100000
16 17 1	555247	15800000
17 16 1	555247	15800000
17 18 1	1980198	16700000
18 17 1	1980198	16700000
18 19 1	2028397	17300000
19 18 1	2028397	17300000
19 20 1	854700	17800000
20 19 1	854700	17800000
15 19 1	2538071	15100000
19 15 1	2538071	15100000
20 21 1	1177856	17700000
21 20 1	1177856	17700000
21 22 1	1030927	17800000
22 21 1	1030927	17800000
22 23 1	628930	17800000
23 22 1	628930	17800000
23 24 1	2032520	15800000
24 23 1	2032520	15800000
23 25 1	1250000	18600000
25 23 1	1250000	18600000
26 25 1	2617801	76800000
25 26 1	2617801	76800000
25 27 1	613496	17700000
27 25 1	613496	17700000
27 28 1	1169590	17400000
28 27 1	1169590	17400000
28 29 1	1060445	16500000
29 28 1	1060445	16500000
30 17 1	2577319	75600000
17 30 1	2577319	75600000
8 30 1	1984126	58000000
30 8 1	1984126	58000000
26 30 1	1162790	34000000
30 26 1	1162790	34000000
17 31 1	639795	15100000
31 17 1	639795	15100000
29 31 1	3021148	14600000
31 29 1	3021148	14600000
23 32 1	867302	15800000
32 23 1	867302	15800000
31 32 1	1015228	15100000
32 31 1	1015228	15100000
27 32 1	1324503	15100000
32 27 1	1324503	15100000
15 33 1	803858	15000000
33 15 1	803858	15000000
19 34 1	404858	11400000
34 19 1	404858	11400000
35 36 1	9803921	17600000
36 35 1	9803921	17600000
35 37 1	2012072	17500000
37 35 1	2012072	17500000
33 37 1	704225	15400000
37 33 1	704225	15400000
34 36 1	3731343	14600000
36 34 1	3731343	14600000
34 37 1	10638297	15900000
37 34 1	10638297	15900000
38 37 1	2666666	78300000
37 38 1	2666666	78300000
37 39 1	943396	15100000
39 37 1	943396	15100000
37 40 1	595238	14000000
40 37 1	595238	14000000
30 38 1	1851851	54200000
38 30 1	1851851	54200000
39 40 1	1652892	15100000
40 39 1	1652892	15100000
40 41 1	2053388	15200000
41 40 1	2053388	15200000
40 42 1	546448	15100000
42 40 1	546448	15100000
41 42 1	740740	15100000
42 41 1	740740	15100000
43 44 1	407497	11700000
44 43 1	407497	11700000
34 43 1	594883	16700000
43 34 1	594883	16700000
44 45 1	1109877	16600000
45 44 1	1109877	16600000
45 46 1	737463	15300000
46 45 1	737463	15300000
46 47 1	787401	15200000
47 46 1	787401	15200000
46 48 1	529100	14800000
48 46 1	529100	14800000
47 49 1	1600000	15000000
49 47 1	1600000	15000000
42 49 1	309597	8900000
49 42 1	309597	8900000
42 49 2	309597	8900000
49 42 2	309597	8900000
45 49 1	537634	13800000
49 45 1	537634	13800000
48 49 1	1980198	14000000
49 48 1	1980198	14000000
49 50 1	1329787	14000000
50 49 1	1329787	14000000
49 51 1	729927	14000000
51 49 1	729927	14000000
51 52 1	1700680	14200000
52 51 1	1700680	14200000
52 53 1	611620	16600000
53 52 1	611620	16600000
53 54 1	819672	17700000
54 53 1	819672	17700000
49 54 1	346020	9900000
54 49 1	346020	9900000
49 54 2	343642	9700000
54 49 2	343642	9700000
54 55 1	1414427	16900000
55 54 1	1414427	16900000
54 56 1	10471204	15500000
56 54 1	10471204	15500000
55 56 1	6622516	14600000
56 55 1	6622516	14600000
56 57 1	1035196	14000000
57 56 1	1035196	14000000
50 57 1	746268	14000000
57 50 1	746268	14000000
56 58 1	1035196	14000000
58 56 1	1035196	14000000
51 58 1	1390820	14000000
58 51 1	1390820	14000000
54 59 1	436109	12500000
59 54 1	436109	12500000
56 59 1	398406	11200000
59 56 1	398406	11200000
56 59 2	418410	11700000
59 56 2	418410	11700000
55 59 1	463392	13300000
59 55 1	463392	13300000
59 60 1	689655	17600000
60 59 1	689655	17600000
59 61 1	666666	17600000
61 59 1	666666	17600000
60 61 1	7407407	18600000
61 60 1	7407407	18600000
60 62 1	1782531	17600000
62 60 1	1782531	17600000
61 62 1	2659574	17600000
62 61 1	2659574	17600000
63 59 1	2590673	76000000
59 63 1	2590673	76000000
63 64 1	5000000	68700000
64 63 1	5000000	68700000
64 61 1	3731343	109500000
61 64 1	3731343	109500000
38 65 1	1014198	29700000
65 38 1	1014198	29700000
64 65 1	3311258	67500000
65 64 1	3311258	67500000
49 66 1	1088139	18600000
66 49 1	1088139	18600000
49 66 2	1088139	18600000
66 49 2	1088139	18600000
62 66 1	458715	13200000
66 62 1	458715	13200000
62 67 1	854700	17600000
67 62 1	854700	17600000
65 66 1	2702702	79300000
66 65 1	2702702	79300000
66 67 1	985221	17600000
67 66 1	985221	17600000
65 68 1	6250000	68600000
68 65 1	6250000	68600000
47 69 1	359971	10200000
69 47 1	359971	10200000
49 69 1	308641	8700000
69 49 1	308641	8700000
68 69 1	2702702	79300000
69 68 1	2702702	79300000
69 70 1	787401	17000000
70 69 1	787401	17000000
24 70 1	243013	7200000
70 24 1	243013	7200000
70 71 1	2816901	16600000
71 70 1	2816901	16600000
24 72 1	510204	14600000
