set BUSES := 1 2 3 4 5 6 7 8 9 10 11 12 13 14;
set LINE_IDS := 1;
set GENERATOR_IDS := 1;
set LINES := (1,2,1), (2,1,1), (1,5,1), (5,1,1), (2,3,1), (3,2,1), (2,4,1), (4,2,1), (2,5,1), (5,2,1), (3,4,1), (4,3,1), (4,5,1), (5,4,1), (4,7,1), (7,4,1), (4,9,1), (9,4,1), (5,6,1), (6,5,1), (6,11,1), (11,6,1), (6,12,1), (12,6,1), (6,13,1), (13,6,1), (7,8,1), (8,7,1), (7,9,1), (9,7,1), (9,10,1), (10,9,1), (9,14,1), (14,9,1), (10,11,1), (11,10,1), (12,13,1), (13,12,1), (13,14,1), (14,13,1);
set GENERATORS := (1,1), (2,1);

param : bus_susceptance	upper_line_limit	:=
1 2 1	1690045	47200000
2 1 1	1690045	47200000
1 5 1	448350	12800000
5 1 1	448350	12800000
2 3 1	505127	14500000
3 2 1	505127	14500000
2 4 1	567150	15800000
4 2 1	567150	15800000
2 5 1	575109	16100000
5 2 1	575109	16100000
3 4 1	584692	16000000
4 3 1	584692	16000000
4 5 1	2374732	66400000
5 4 1	2374732	66400000
4 7 1	478194	14100000
7 4 1	478194	14100000
4 9 1	179797	5300000
9 4 1	179797	5300000
5 6 1	396793	11700000
6 5 1	396793	11700000
6 11 1	502765	13400000
11 6 1	502765	13400000
6 12 1	390915	10400000
12 6 1	390915	10400000
6 13 1	767636	20100000
13 6 1	767636	20100000
7 8 1	567697	16700000
8 7 1	567697	16700000
7 9 1	909008	26700000
9 7 1	909008	26700000
9 10 1	1183431	32500000
10 9 1	1183431	32500000
9 14 1	369849	9900000
14 9 1	369849	9900000
10 11 1	520643	14100000
11 10 1	520643	14100000
12 13 1	500300	9900000
13 12 1	500300	9900000
13 14 1	287339	7600000
14 13 1	287339	7600000;

param demand :=
2 2170000
3 9420000
4 4780000
5 760000
6 1120000
9 2950000
10 900000
11 350000
12 610000
13 1350000
14 1490000
7 0
8 0
1 0;

param : min_generation	max_generation	linear_cost_coeff	:=
1 1		0		34000000		792095
2 1		0		5900000		2326950;
