from bus,to bus,id,reactance,lower line limit,upper line limit
7519,4482,1,0.00616,-5104,5104
7519,11823,1,0.0074,-4259,4259
3073,4516,1,0.00626,-4974,4974
3073,4706,1,0.0055,-5678,5678
5157,1032,1,0.01563,-2013,2013
5157,6653,1,0.01692,-1860,1860
628,7896,1,0.00057,-55004,55004
628,6592,1,0.00056,-56085,56085
11792,10888,1,0.01656,-1870,1870
11792,4609,1,0.016211,-1907,1907
6573,10888,1,0.01586,-1946,1946
6573,4609,1,0.017969,-1733,1733
782,13300,1,0.01842,-1711,1711
782,1186,1,0.01847,-1707,1707
11715,924,1,0.01808,-1743,1743
11715,12182,1,0.01765,-1785,1785
10257,2582,1,0.01311,-2891,2891
10257,9363,1,0.00974,-3851,3851
7595,11501,1,0.01418,-2198,2198
7595,11390,1,0.015909,-1968,1968
6873,1806,1,0.00254,-12367,12367
6873,11151,1,0.00259,-12131,12131
11949,1806,1,0.00302,-10398,10398
11949,1269,1,0.00312,-10081,10081
2623,3359,1,0.00137,-22560,22560
2623,11159,1,0.00263,-11969,11969
3020,3359,1,0.001341,-23027,23027
3020,12995,1,0.00257,-12243,12243
9670,3359,1,0.00689,-4551,4551
9670,2360,1,0.00586,-5317,5317
8390,3359,1,0.0012,-26146,26146
8390,11515,1,0.001539,-20335,20335
12630,3359,1,0.004901,-6424,6424
12630,11515,1,0.00151,-20703,20703
3340,3359,1,0.004539,-6872,6872
3340,3953,1,0.00482,-6500,6500
7444,8848,1,0.00407,-7699,7699
7444,5026,1,0.00502,-6278,6278
11055,8848,1,0.00698,-4506,4506
11055,13067,1,0.00806,-3909,3909
9857,13125,1,0.00464,-6746,6746
9857,12598,1,0.005099,-6153,6153
7256,7011,1,0.00307,-10073,10073
7256,11232,1,0.003,-10284,10284
12732,9895,1,0.00528,-5953,5953
12732,4416,1,0.0053,-5927,5927
4494,7011,1,0.007919,-3890,3890
4494,10481,1,0.00862,-3600,3600
7913,9895,1,0.00545,-5777,5777
7913,1269,1,0.00476,-6597,6597
3258,10043,1,0.037421,-799,799
3258,8238,1,0.123,-249,249
697,10043,1,0.069727,-410,410
697,11841,1,0.112802,-248,248
11629,10942,1,0.00109,-28833,28833
11629,13171,1,0.00107,-29367,29367
9089,11260,1,0.00395,-7943,7943
9089,7609,1,0.003789,-8235,8235
13119,3581,1,0.01542,-2423,2423
13119,6381,1,0.02083,-1799,1799
5075,13106,1,0.018488,-1617,1617
5075,9503,1,0.037669,-774,774
11048,10312,1,0.02095,-1485,1485
11048,3185,1,0.019461,-1570,1570
1538,4109,1,0.050771,-608,608
1538,3721,1,0.049719,-619,619
5803,4109,1,0.048659,-632,632
5803,3721,1,0.047599,-644,644
189,4268,1,0.00715,-4401,4401
189,11488,1,0.00712,-4403,4403
7384,1009,1,0.00555,-5671,5671
7384,11547,1,0.00566,-5562,5562
11070,1009,1,0.00524,-6006,6006
11070,11547,1,0.00514,-6115,6115
2061,6603,1,0.010686,-2736,2736
2061,9733,1,0.062653,-451,451
9502,7241,1,0.00298,-10550,10550
9502,8865,1,0.00291,-10798,10798
12336,13321,1,0.01529,-2469,2469
12336,494,1,0.0152,-2462,2462
13540,11971,1,0.00096,-32406,32406
13540,330,1,0.000942,-32924,32924
8250,622,1,0.00184,-17103,17103
8250,8646,1,0.00287,-10974,10974
5656,9506,1,0.00187,-16838,16838
5656,7003,1,0.00266,-11835,11835
8767,13151,1,0.0174,-2154,2154
8767,256,1,0.0288,-1300,1300
11952,7565,1,0.01024,-3079,3079
11952,8750,1,0.01004,-3138,3138
13220,7565,1,0.00983,-3205,3205
13220,8750,1,0.00963,-3270,3270
10465,10831,1,0.02666,-1410,1410
8079,10358,1,0.0026,-12075,12075
8079,8404,1,0.00303,-10398,10398
7197,5524,1,0.006159,-5063,5063
7197,11931,1,0.00657,-4739,4739
1721,12153,1,0.01277,-2929,2929
1721,10744,1,0.01808,-2071,2071
8400,850,1,0.00406,-9198,9198
8400,8575,1,0.02343,-1597,1597
9020,2201,1,0.00445,-7076,7076
9020,2350,1,0.0025,-12606,12606
6435,2201,1,0.00436,-7221,7221
6435,3448,1,0.00255,-12360,12360
3223,4642,1,0.00995,-3761,3761
3223,9919,1,0.01949,-1923,1923
7755,4642,1,0.01014,-3692,3692
7755,9919,1,0.01986,-1888,1888
4129,4642,1,0.01243,-3014,3014
