bus,demand
2,72.68
3,378.4
4,134
5,151
6,171.41
7,45.95
8,344.105
10,31.03
13,14.3
14,134
16,-6.11
17,-22.74
19,59.67
20,30.6
21,0.234457
22,67.67
23,0.295874
24,25.33
25,1.4
26,161.2
28,19.62
30,31.94
31,0.235277
32,167.3
36,152.9
38,69.68
43,13.51
44,10.51
46,0.12
47,9.21
48,42.75
49,0.019959
50,16.02
52,27.9
53,20.82
56,10.11
57,10.01
58,6.31
59,2.9
60,0.318913
61,0.549745
64,151.8
65,127.6
70,110.5
80,140
81,21.6
82,-22.362
83,119.2
84,26.43
85,0.24
91,187.9
92,14.92
93,-18.52
95,4.61
103,62.87
105,13.5
106,126.3
108,6.91
109,15.72
111,16.12
112,38.74
113,22.13
118,138.8
119,137.475
120,67.76
124,1
125,20.9
127,21.52
128,71.98
129,0.205132
130,363.25
131,192.9
137,17.52
138,33.14
139,40.44
140,193.17
141,90.7
142,176.3
143,35.94
148,143.9
152,51.36
157,322.7
158,303.62
159,3.8
160,137
164,61.07
168,55.7
170,1.8
172,2.5
174,38.94
175,45.15
177,0.019004
178,0.566322
180,17.22
184,23.73
185,121.9
186,0.135375
187,47.35
190,38.14
191,54.2
192,130.6
193,7.91
194,42.1
195,-75.38
198,41.05
200,100.92
201,0.116699
205,3.3298
206,38.34
208,269.6
209,-8.71
210,160.077
211,32.34
212,100.1
213,12.3869
214,131.75
226,9.21
227,0.488616
228,166
231,79.4
234,-597.44
235,147.76
237,26.8
238,0.176128
239,257.5
240,16.7
244,100.8
245,111.7
246,90.38
247,370.5
249,41.1069
251,9.91
252,-0.69
253,55.46
254,94.9
255,81.09
257,210.5
260,19.32
261,29.83
263,20.9
264,19.92
265,57.16
267,36.84
268,-15.04
269,9.27001
272,0.114032
277,119.9
279,0.172756
280,0.039023
281,73.14
284,0.401208
285,39.74
286,44.35
287,86.8
288,50.56
291,110.9
292,18.2
293,0.181549
295,46.15
297,55.46
298,34.04
300,321.98
301,42.55
302,33.44
303,0.019646
313,-24.99
314,95.69
316,37.34
317,340.23
319,155.6
320,105.2
321,69.83
322,1.10769
326,0.197696
327,176.219
329,27.03
330,8.59961
335,14.62
340,45.05
342,-23.43
343,426.6
344,152.07
348,2.5
349,31.119
350,34.04
352,45.85
355,46.0883
359,-876.96
366,167.9
371,44.35
372,132.358
374,224.239
376,128.9
380,118.4
387,0.135493
388,0.276837
390,113.9
391,88
393,42.67
399,160.84
401,126.8
402,48.8
403,38.74
404,350.4
407,103.8
409,-0.13
412,96.7
416,19.02
417,102.1
420,113.34
421,8.31
422,119.6
425,50.9916
426,27.33
427,191.2
428,0.028663
429,101.6
430,177.1
434,0.038538
435,53.46
437,418.362
440,85.1
444,189.3
445,23.73
446,7.11183
449,229.054
451,-14.85
452,20.9
453,431.7
455,17.62
457,103
462,0.060508
464,42.05
465,-0.16
467,163.1
471,0.049626
473,153.3
475,67.17
478,0.114166
479,382.4
484,33.5
486,0.01
488,291.744
489,24.23
490,108.6
491,4
493,30.03
495,524.5
497,129.9
499,4.4
500,9.22
501,0.059058
505,35.41
506,3.2
507,372.8
517,2.9782
518,197.5
521,110.4
522,-0.15
523,1.13877
526,-4.86
527,141.1
529,52.96
530,149.428
534,10.81
536,35.54
537,0.230877
538,48.93
541,10.01
543,109.7
544,65.17
545,66.97
548,56.76
550,10.81
553,374.041
558,-0.18
560,9.91
561,221.35
562,23.83
563,-95.71
565,53.9386
566,16.5584
568,-5.45483
573,0.258771
574,0.059384
578,34.94
579,134.1
580,17.72
582,1.56022
584,-0.51
587,77.79
590,5.01
591,-19.66
592,56.5
595,0.090774
596,3.81
597,254.7
598,20.9
599,77.99
600,-0.15
601,129.1
602,126.3
603,151.5
604,0.019593
605,26.4
606,0.139186
607,20.52
608,4.71
609,70.68
611,234.32
612,24.43
617,46.15
618,33.74
620,35.84
622,-50.7613
627,123.1
629,83.9
630,0.1
631,26.93
632,29.03
633,188.42
638,0.295061
639,9.7
640,176.2
641,33.14
642,18.3
643,69.08
644,0.057082
645,0.22164
647,0.199768
650,44.85
653,-12.61
656,36.74
657,100.53
658,2.21938
662,42.04
664,104.44
665,0.362004
667,23.7
668,274.32
669,2.5
670,1.8
672,0.189164
673,97
677,15.22
679,0.31285
680,108.5
682,24.33
683,44.75
686,40.5
688,9.01
689,81.09
691,11.01
694,336.2
696,-22.95
700,67.3
703,16.62
704,5.81
707,113.4
710,23.26
711,57.26
712,0.17102
713,7
714,7.01
716,87.8
718,6.61
719,115.92
720,20.52
722,0.366153
723,68.18
725,23.23
727,181.7
729,40
733,287.31
735,144.4
739,8.25352
740,18.62
743,23.43
744,23.92
745,77.29
748,7.14818
755,9.61
756,-196.35
757,27.03
758,7.71
759,603.019
760,207.2
761,118.5
762,14.72
763,100.5
764,11.61
766,189.9
772,36.54
777,277.7
781,25
785,16.52
787,118.1
788,11.51
789,87.8791
790,27.53
791,21.02
792,57.96
793,166.9
794,-5.51
795,86.5
796,2
799,72
801,79.69
804,30.03
805,30.93
806,-22.5996
808,17.72
810,180.8
816,16.52
818,-0.18
823,58.56
825,47.55
827,20.22
830,47.95
831,120.63
832,27.13
833,10.71
834,82.89
838,108.6
842,-0.13
843,166.04
847,17.32
851,48.8
852,51.16
853,0.33357
854,151.2
856,9.51
857,3.23091
860,91.1
863,27.03
866,300.554
872,67.57
875,47.55
876,49.91
877,33.34
879,0.220582
881,140.6
882,110.8
883,0.370251
884,48.9
885,33.24
886,23.4
889,150.9
892,0.094944
894,163.5
895,18.5
896,0.019388
897,0.233419
899,-0.92
900,1.37996
902,72.88
903,15.42
905,21.42
908,36.1
909,111.4
914,116.8
915,0.122539
917,177.2
918,23.8
922,40.04
928,0.2
929,7.96838
933,181.41
934,180.042
935,102
936,45.32
939,15.52
940,192.3
941,103
942,26.33
943,-0.59
944,48.05
945,0.038966
946,40.94
947,17.22
948,62.46
950,205.6
951,9.7
952,-0.15
953,3.42
959,65.27
960,0.058795
961,258.4
962,0.187983
963,9.91
964,40.24
966,14.82
967,0.12
968,38.04
970,-5.61
971,-11.3819
972,48.8
988,109.3
989,30.83
990,232.1
992,79.59
994,0.038933
996,169.8
997,60.07
999,42.4001
1001,-3.4
1003,22.42
1005,6.11
1006,83.6
1008,0.226936
1011,0.12
1012,96.41
1014,12.4
1015,0.466209
1016,0.180903
1018,36.54
1019,62.7
1020,12.71
1021,20.32
1025,156.9
1026,114.8
1027,83.99
1029,0.038515
1030,76.38
1032,423.875
1033,110.4
1034,0.058557
1035,0.471052
1037,29.63
1038,4.5
1039,135.11
1040,-0.54
1049,104.6
1051,30.83
1053,400.3
1054,35.3583
1058,20.62
1062,58.36
1063,109.23
1065,45.56
1066,8.11
1067,11.1884
1068,1.59248
1069,22.22
1076,5.01
1078,6.51
1080,90.4
1081,2.5
1082,69.58
1086,27.5248
1091,2.5
1095,1.9
1097,132.1
1098,28.9
1099,36.74
1100,0.060092
1106,0.038914
1107,223.633
1108,0.120942
1113,152.57
1115,46.15
1116,343.9
1117,349.6
1118,-14.87
1120,-55.14
1121,45.05
1122,142.22
1126,0.019802
1127,0.510485
1128,0.019363
1129,0.040037
1130,34.04
1133,-26
1137,18.02
1140,0.511667
1141,52.7438
1142,295.3
1143,9.7
1146,0.039425
1147,2
1149,235.2
1151,9.71
1152,200.481
1154,312.2
1156,223.655
1157,24.53
1160,17.83
1162,68.1194
1163,287.7
1164,25.27
1165,234.7
1166,333.1
1169,12.6
1170,15.02
1172,-16.84
1173,1.14746
1174,32.1
1175,38.64
1176,31.94
1177,167.8
1179,113.6
1181,0.368775
1184,15.02
1185,-17.17
1186,-35.9186
1188,0.03986
1193,0.135375
1194,0.349307
1197,0.05873
1199,159.2
1200,13.9
1201,62.8487
1203,0.019624
1204,18.5
1206,34.5404
1209,190
1210,49.95
1211,10.01
1212,45.0898
1213,-28.93
1214,21.72
1215,0.574719
1217,242.08
1219,0.058902
1220,40.44
1221,111.4
1222,1.3
1223,43.45
1225,25.13
1226,13.82
1227,94.2
1228,108.89
1233,0.295925
1234,42.25
1235,75.7301
1241,394.9
1242,192.5
1243,13.82
1244,23.03
1246,-2.85
1247,51.86
1248,17.7134
1249,3.9
1250,8.91
1251,1.41445
1252,452.56
1255,0.234854
1258,153.5
1259,25.63
1266,82.69
1267,146.9
1268,0.13389
1272,26.53
1275,125.9
1276,12.61
1277,6.3
1279,13.21
1280,48.8
1281,22.02
1282,0.997827
1284,24.53
1285,0.997474
1286,0.019316
1291,34.44
1292,0.126343
1293,15.22
1294,48.95
1295,10.01
1296,8.01
1299,0.038839
1300,112.9
1301,43.75
1302,30.03
1303,1.62488
1307,64
1309,474.3
1311,77.59
1312,40.34
1316,2.5
1319,-12.51
1321,150.1
1322,50.06
1325,26.03
1328,30.33
1331,0.2
1332,189.1
1333,7.41
1334,90.7
1336,4.81
1337,69.08
1340,0.5
1345,108.7
1346,66.27
1347,-13.91
1350,244.2
1351,19.42
1352,65.77
1355,166.6
1356,0.01
1357,32.94
1358,42.55
1361,88.5
1362,45.05
1363,190.91
1364,1.3
1366,0.4
1368,62.27
1370,100.93
1371,0.099501
1373,1.04991
1375,6.76853
1377,0.05054
1378,0.211519
1379,95.58
1380,0.009683
1383,0.181549
1384,21.12
1385,14.72
1387,62.7
1388,15.532
1393,1.11107
1395,0.933942
1396,17.52
1397,15.98
1400,32.34
1403,18.1397
1404,38.3796
1405,171.02
1420,0.059141
1422,0.098001
1424,24.03
1425,0.060427
1430,-5.01
1432,0.2
1443,136.06
1445,44.55
1456,8.2
1457,227.96
1460,-27.4173
1461,27.9
1463,241.625
1464,201.4
1465,-5.91
1466,13.82
1467,0.113517
1468,178.9
1472,-34.4612
1489,382.5
1490,0.173429
1492,3.7
1493,34.64
1494,31.94
1495,12.11
1496,2.5
1497,34.2
1499,0.540258
1500,40.5
1501,47.05
1502,1.9
1503,27.8
1506,28.4169
1508,67.47
1509,84.99
1510,83.6
1525,0.01
1527,84.89
1528,50.06
1529,215.2
1530,89.6
1531,0.332671
1535,279.4
1536,35.24
1539,1.6
1540,83.3
1542,21.92
1543,403.9
1550,0.555669
1551,48.8
1554,277.86
1555,0.239685
1563,0.058263
1564,-30.03
1565,42.15
1566,162.1
1567,12.01
1569,39.1
1570,-7.61
1571,56.06
1572,-24.85
1573,30.93
1574,0.710079
1575,28.53
1580,46.3666
1582,0.039225
1585,13.7657
1589,192.4
1590,1.8
1596,-54.06
1597,227.34
1600,10.91
1601,20.9
1602,59.27
1603,7.01
1604,-40.55
1605,70.28
1607,-20.94
1610,22.22
1611,244.8
1612,11.6466
1613,0.098235
1614,-9
1615,0.039398
1616,0.116733
1617,64.21
1619,0.086633
1620,0.475577
1621,190.47
1622,22.5
1623,0.540344
1624,7.8
1625,115.2
1626,118.2
1628,103.9
1630,1.4
1632,16.22
1634,0.526084
1635,19.0363
1639,45.9
1643,0.210571
1645,39.04
1646,-61.8022
1647,32.84
1648,20.02
1649,141.4
1653,12.41
1654,55.7
1657,65.67
1659,3.7
1660,24.13
1664,0.1
1665,170.2
1669,26.43
1671,-39.81
1674,116.2
1676,-9.51
1677,79.89
1680,129.1
1681,0.019971
1682,-128.584
1683,92.8164
1684,-2.35
1686,86.6
1687,43.75
1688,0.1
1690,25.1
1691,0.232698
1692,150.4
1693,62.7
1694,67.58
1695,30.93
1696,96.41
1697,14.62
1698,37.3
1699,13.21
1700,181.5
1702,129.6
1703,5.5
1705,0.181549
1706,25.23
1708,0.052811
1709,124.8
1710,114.1
1712,41.8
1714,-0.19
1715,27.13
1716,70.18
1717,13.9
1718,78.49
1719,-15.82
1720,-0.54025
1722,29.8
1723,105
1727,30.83
1728,1.4
1729,0.169548
1730,230.5
1733,26.4
1736,0.134584
1738,-0.18
1739,53.16
1740,7.41
1744,259.36
1745,71.78
1746,4.3
1748,1.05907
1752,60.37
1753,103.6
1755,23.53
1756,-30.0898
1758,226.3
1759,0.056124
1760,44.6
1761,-4.57
1762,2
1766,141.26
1767,39.44
1768,0.710067
1771,186.6
1775,20.62
1776,138.2
1777,25.13
1779,0.039102
1781,50.86
1782,279.5
1784,0.256113
1785,224.9
1786,173
1787,15.42
1788,-19.2017
1789,151.502
1790,112.8
1792,1.8
1793,119.651
1797,7.01
1798,130.4
1799,149.9
1800,31.74
1804,-0.2
1814,202
1817,42.75
1818,19.02
1820,71.8686
1823,-0.19
1824,9.61
1826,18.82
1827,22.32
1828,124.1
1829,180.9
1830,23.4
1832,26.63
1833,6.11
1835,181.14
1838,19.02
1842,30.53
1843,42.95
1844,479
1846,-19.83
1848,75.28
1849,191.7
1852,8.51
1854,479.339
1855,71.38
1856,16.7
1857,17.72
1859,37.94
1860,18.2
1861,18.7396
1863,13.82
1864,32.64
1865,0.2
1867,0.238928
1870,11.41
1872,118.9
1873,37.14
1874,37.69
1886,105.8
1887,100.6
1891,-9.61
1892,1.16098
1894,0.647865
1897,13.9
1898,0.232141
1899,29.03
1900,108.4
1901,7.61
1902,0.058904
1904,5.41
1909,1.91
1910,-9.31108
1912,34.9
1915,30.53
1917,28.93
1918,6.41
1919,291.94
1920,-3.29
1921,538.3
1922,2.1
1923,100.3
1924,60.17
1925,0.27075
1926,211.92
1929,0.352132
1930,40.85
1931,0.233608
1934,0.527187
1937,0.156456
1939,10.562
1941,46.55
1942,100.9
1944,0.077274
1945,10.11
1946,36.44
1948,18.02
1950,60.37
1951,2.91
1952,89.5
1956,93.9
1958,10.81
1962,39.0598
1965,14.75
1970,20.32
1973,0.019477
1975,2.4
1976,30.93
1978,52.96
1981,196.7
1982,185.53
1983,39.25
1984,11.91
1986,0.176224
1987,-22.07
1989,69.3
1990,-1401.62
1992,157.9
1994,15.52
1996,138.673
1998,63.4295
2002,5.11
2007,144.7
2009,7.81
2010,4.84964
2015,42.95
2016,132.22
2018,-4.89
2019,106.1
2021,0.284748
2023,22.83
2025,20.82
2026,-8.31
2027,193.2
2028,39.54
2029,45.95
2030,178
2033,0.039816
2034,204.6
2035,0.31
2036,110.1
2038,53.86
2039,89.3
2040,171.96
2043,0.287012
2044,238.4
2046,10.91
2052,303.044
2054,20.52
2057,80.09
2058,57.16
2059,207.976
2060,18.02
2062,20.82
2064,5.18784
2070,35.24
2072,109.6
2073,162
2074,22.73
2075,-11.03
2076,42.95
2079,50.06
2092,18.12
2095,0.15
2096,39.2
2098,117.13
2100,30.63
2103,30.03
2104,0.038912
2105,82.19
2108,100.1
2109,628.499
2111,-28.21
2113,0.175191
2114,145.114
2115,79.59
2116,-28.8387
2117,64
2120,117.5
