bus,id,min generation,max generation,linear cost coefficient
1,1,28.22,100,27.9542
12,1,100,500,30.1437
18,1,25.35,100,38.0233
29,1,23.19,100,51.4633
33,1,16.9,100,28.5083
39,1,100,500,24.8085
42,1,10.73,100,25.0157
45,1,100,400,40.5676
51,1,100,400,32.1203
54,1,24.72,100,24.662
62,1,400,1300,10.4819
63,1,400,1300,19.6696
66,1,100,400,26.4009
68,1,35.81,200,25.0311
69,1,35.81,200,44.2424
77,1,16.43,100,50.3392
78,1,36.32,200,52.825
79,1,12.09,100,26.3772
86,1,100,400,34.8322
94,1,11.76,100,32.1284
96,1,32.95,100,26.3161
97,1,32.95,100,35.1626
98,1,32.95,100,18.0804
99,1,15.9,100,46.3365
100,1,15.9,100,50.1308
101,1,32.95,100,38.6762
102,1,32.95,100,36.1966
104,1,58.63,200,22.8607
107,1,45.51,200,37.2103
110,1,60.98,200,35.6954
114,1,28.23,100,35.0147
115,1,14.9,100,36.9553
121,1,24.02,100,16.7374
132,1,4.35,100,18.8862
133,1,24.51,100,29.0577
134,1,30.36,100,26.6414
135,1,28.23,100,30.0691
136,1,33.89,200,35.7203
144,1,11.87,100,44.9401
145,1,400,1300,23.2009
146,1,400,1300,32.8797
147,1,400,1300,34.5677
151,1,100,500,50.4885
153,1,24.09,100,34.5054
154,1,500,1600,6.75608
156,1,32.89,100,39.9279
161,1,32.89,100,25.6419
162,1,32.89,100,13.5522
165,1,28.23,100,37.9175
179,1,63.35,200,23.2211
182,1,23.31,100,41.1292
196,1,54.05,200,28.3493
197,1,100,500,27.947
207,1,18.63,100,41.0607
220,1,65.15,200,27.294
221,1,65.15,200,32.3167
222,1,65.11,200,32.0221
223,1,65.15,200,40.725
224,1,65.11,200,45.6525
225,1,65.11,200,29.1024
229,1,14.02,100,17.3612
241,1,400,1300,21.1859
243,1,21.62,100,56.2556
248,1,17.59,100,25.1184
250,1,100,400,27.9424
258,1,5.47,100,54.916
259,1,25.67,100,44.8411
266,1,18.99,100,40.2681
270,1,12.27,100,33.3602
271,1,400,1300,39.4823
273,1,400,1300,28.6125
274,1,400,1300,36.674
275,1,400,1300,44.3468
276,1,400,1300,9.85091
278,1,400,1300,17.9616
283,1,5.33,100,47.8794
289,1,24.6,100,24.6823
294,1,61.87,200,25.9558
296,1,14,100,27.8151
299,1,100,400,28.395
304,1,26.65,100,27.6481
305,1,18.49,100,23.688
306,1,18.49,100,23.0883
307,1,11.77,100,26.521
308,1,11.77,100,30.2443
309,1,21.39,100,55.006
310,1,21.39,100,56.5578
311,1,21.39,100,38.8022
312,1,21.39,100,42.1159
315,1,1.37,100,13.5238
323,1,200,900,9.54132
324,1,3.33,100,42.8951
325,1,3.2,100,30.5313
328,1,36.36,200,21.2434
331,1,18.41,100,26.1326
332,1,1.33,100,27.4695
336,1,10.72,100,37.1881
338,1,10.72,100,24.7974
345,1,200,700,2.80703
346,1,200,700,38.3308
351,1,100,400,15.7973
354,1,24.28,100,37.6913
358,1,100,400,37.0928
360,1,56.08,200,43.0227
361,1,56.08,200,42.2062
362,1,56.08,200,43.679
363,1,56.08,200,18.0855
364,1,3.5,100,29.2292
365,1,63.47,200,43.2334
368,1,56.08,200,31.7803
369,1,56.08,200,47.2662
382,1,68.02,300,21.698
383,1,68.16,300,30.0025
392,1,0.69,100,25.9616
394,1,25.27,100,21.2571
395,1,24.82,100,20.5663
396,1,56.85,200,33.9607
400,1,63,200,25.7811
405,1,22.43,100,33.1915
406,1,22.43,100,28.8224
408,1,23.28,100,19.9624
423,1,0.66,100,25.8025
432,1,3,100,17.0373
433,1,20.03,100,10.8033
438,1,12.09,100,23.8846
442,1,20.9,100,22.5917
448,1,16.81,100,24.3897
454,1,5.57,100,27.0242
458,1,20.85,100,32.7768
463,1,-26.64,100,36.7066
470,1,49.87,200,41.2552
476,1,100,500,33.3308
477,1,25.35,100,42.3347
480,1,59.47,200,19.1659
481,1,59.47,200,33.6076
482,1,59.47,200,52.2807
483,1,59.47,200,36.3467
485,1,200,700,31.5099
492,1,100,600,38.7099
496,1,42.85,200,37.0013
508,1,500,1800,7.81721
509,1,500,1800,28.3077
510,1,500,1800,7.72748
514,1,500,1800,31.8445
516,1,21.71,100,37.0509
528,1,15.77,100,31.2012
531,1,25.86,100,25.1678
532,1,100,600,55.8532
533,1,100,400,33.074
539,1,100,400,32.7025
552,1,20.4,100,33.8294
559,1,34.33,200,33.2326
564,1,14.51,100,33.8934
572,1,4.67,100,19.1598
575,1,12.06,100,52.7338
576,1,12.06,100,12.5614
577,1,12.06,100,29.6571
581,1,12.06,100,31.495
585,1,48.41,200,5.84469
589,1,8.92,100,33.2088
610,1,21.3,100,13.3884
614,1,23.21,100,50.7993
615,1,23.21,100,61.3985
619,1,28.33,100,45.2188
621,1,3.87,100,27.3647
623,1,24.02,100,22.7912
626,1,28.86,100,37.2363
635,1,0.09,100,15.2624
637,1,16.81,100,35.0936
646,1,200,700,22.026
648,1,200,700,17.2106
649,1,200,700,17.4977
651,1,100,400,31.8098
652,1,100,400,27.1318
654,1,61.6,200,8.72445
660,1,22.14,100,20.0338
666,1,20.87,100,24.905
671,1,16.8,100,30.7835
676,1,100,600,7.21261
681,1,56.45,200,24.1333
684,1,45.93,200,31.8314
693,1,100,500,27.0268
695,1,5.6,100,32.2987
698,1,17.81,100,32.6118
709,1,400,1300,14.3505
715,1,15.93,100,37.7064
717,1,15.41,100,25.6777
721,1,49.57,200,38.3058
724,1,23.67,100,30.6276
730,1,65.64,200,40.0281
731,1,65.64,200,42.239
732,1,65.64,200,51.8679
734,1,65.64,200,14.5734
746,1,10.67,100,31.4446
749,1,15.05,100,36.2247
750,1,15.05,100,26.4876
751,1,15.05,100,43.2823
753,1,13.76,100,28.1986
754,1,43.1,200,41.1565
765,1,52.25,200,49.0439
768,1,31.16,100,33.0156
769,1,31.16,100,14.3728
773,1,20.09,100,32.0476
775,1,17.56,100,51.9201
778,1,12.49,100,6.10346
779,1,14.4,100,57.5432
783,1,10.85,100,17.4734
786,1,20.86,100,14.7616
798,1,20.6,100,35.1758
800,1,400,1300,22.0096
809,1,20.87,100,23.7919
811,1,21.15,100,27.0681
814,1,600,2000,14.9291
815,1,61.79,200,46.249
819,1,100,500,18.4508
824,1,20.87,100,32.8845
828,1,100,500,30.5485
836,1,12.77,100,30.0904
839,1,5.03,100,29.4072
841,1,64.02,200,52.0615
844,1,39.35,200,33.1898
845,1,39.35,200,36.7785
846,1,39.35,200,29.7867
849,1,45.51,200,41.8752
855,1,26.45,100,16.937
858,1,100,600,6.43254
859,1,24.61,100,19.2645
861,1,20.19,100,38.0835
862,1,20.19,100,20.8707
864,1,20.19,100,56.7028
865,1,20.19,100,34.1545
869,1,25.27,100,20.1308
873,1,25.31,100,36.6638
874,1,26.82,100,38.6342
888,1,25.44,100,27.4177
898,1,23.98,100,32.7426
901,1,56.45,200,38.2659
904,1,21.68,100,32.0193
907,1,21.68,100,33.5764
910,1,58.88,200,42.7765
912,1,28.78,100,28.347
916,1,100,400,26.3111
920,1,28.78,100,45.169
921,1,100,600,24.6417
925,1,100,600,25.2402
926,1,100,500,35.0425
927,1,29,100,35.2847
930,1,28.78,100,13.8385
932,1,13.05,100,26.5096
937,1,16.42,100,30.5925
938,1,19.22,100,35.7367
954,1,40.2,200,22.4017
956,1,13.96,100,32.0129
958,1,21,100,26.7874
975,1,11.16,100,25.0522
976,1,11.08,100,44.8779
977,1,11.08,100,21.7556
978,1,11.08,100,31.4296
980,1,20.58,100,31.1384
981,1,25.55,100,41.62
982,1,25.55,100,30.4971
983,1,25.55,100,41.5945
984,1,12.67,100,35.6565
985,1,12.67,100,15.0491
986,1,12.67,100,45.9626
987,1,12.67,100,26.3476
995,1,24.82,100,57.2729
1002,1,100,500,20.1615
1004,1,2.8,100,42.7654
1007,1,10,100,18.7815
1010,1,57.5,200,31.258
1013,1,23.98,100,15.5781
1031,1,59.77,200,48.9555
1043,1,33.95,200,13.2915
1044,1,3.5,100,35.6926
1046,1,5.69,100,14.1536
1048,1,0.23,100,33.6853
1050,1,200,700,20.9251
1055,1,23.28,100,34.5953
1057,1,35.21,200,38.2997
1059,1,24.53,100,35.3048
1070,1,15.34,100,27.1555
1071,1,15.73,100,23.1002
1072,1,59.94,200,57.1353
1073,1,26.54,100,36.4314
1074,1,53.83,200,20.8944
1077,1,15.53,100,30.1627
1079,1,24.47,100,26.9402
1083,1,100,500,32.2903
1085,1,100,600,27.8181
1088,1,0.05,100,9.36036
1089,1,17.49,100,31.6547
1090,1,13.23,100,37.7135
1092,1,17.49,100,47.6994
1093,1,17.49,100,28.0565
1096,1,24.86,100,21.2483
1104,1,23.28,100,63.266
1123,1,66.94,300,12.351
1125,1,20.87,100,14.7685
1138,1,100,600,29.8086
1148,1,6,100,23.7634
1150,1,100,500,40.305
1180,1,16.8,100,22.2933
1182,1,15.58,100,19.0667
1183,1,15.58,100,26.9849
1189,1,18.64,100,30.6634
1192,1,25.86,100,45.2069
1202,1,23.67,100,23.3459
1208,1,13.33,100,36.4318
1218,1,100,400,13.8878
1238,1,4.37,100,41.3027
1245,1,11.73,100,30.2876
1257,1,37.5,200,39.8944
1262,1,100,500,27.6565
1263,1,100,500,48.8581
1264,1,100,600,32.3664
1273,1,11.97,100,48.722
1274,1,64.02,200,20.0988
1278,1,25.44,100,20.5134
1287,1,18.59,100,17.6674
1288,1,18.13,100,17.0938
1290,1,13.7,100,39.3424
1298,1,18.59,100,49.1271
1304,1,24.61,100,20.5125
1305,1,16.56,100,42.132
1306,1,63.35,200,13.5772
1308,1,100,600,25.7754
1310,1,54.21,200,33.1098
1323,1,200,800,18.6697
1324,1,25.44,100,27.6751
1329,1,3.33,100,39.192
1330,1,24.07,100,13.6488
1335,1,63.67,200,25.7736
1338,1,17.1,100,9.4781
1339,1,17.1,100,25.6909
1342,1,17.1,100,27.975
1343,1,17.1,100,24.0052
1344,1,56.45,200,62.1735
1348,1,17.1,100,48.7626
1349,1,21.34,100,59.6062
1359,1,21.05,100,15.1294
1367,1,32.22,100,35.4784
1369,1,100,600,31.4435
1372,1,100,600,36.1229
1376,1,16.43,100,36.2789
1381,1,36.97,200,13.2787
1382,1,14.3,100,27.1827
1389,1,100,500,32.8334
1390,1,100,500,44.5792
1391,1,100,500,25.9696
1394,1,100,600,28.713
1401,1,100,600,4.1568
1407,1,58.59,200,27.7244
1408,1,58.59,200,21.2396
1410,1,60.78,200,28.7164
1411,1,60.78,200,29.9183
1412,1,60.78,200,27.6443
1413,1,60.78,200,29.7039
1414,1,58.59,200,27.5999
1415,1,58.59,200,51.9963
1416,1,60.78,200,13.0085
1417,1,58.59,200,39.0027
1419,1,14.81,100,12.4375
1421,1,1.33,100,110.853
1423,1,55.85,200,39.4133
1427,1,61.25,200,35.7532
1433,1,12.51,100,17.8676
1434,1,12.51,100,18.0346
1435,1,21.57,100,30.3276
1436,1,21.57,100,35.8815
1437,1,12.51,100,22.7969
1438,1,12.51,100,34.1523
1440,1,29.76,100,53.4144
1441,1,21.57,100,49.2285
1447,1,36.97,200,21.2676
1448,1,36.97,200,23.9132
1449,1,36.97,200,31.296
1450,1,36.97,200,38.7737
1451,1,32.2,100,12.3981
1453,1,32.2,100,42.2215
1454,1,32.2,100,14.1282
1455,1,20.85,100,23.139
1458,1,61.25,200,23.0693
1462,1,64.02,200,55.874
1469,1,4.67,100,10.8098
1470,1,60.07,200,49.6371
1471,1,60.07,200,46.4446
1473,1,60.07,200,46.9862
1474,1,60.07,200,32.4224
1475,1,60.07,200,21.9181
1476,1,60.07,200,33.1421
1477,1,12.05,100,20.1224
1478,1,12.05,100,44.7278
1479,1,12.05,100,46.0553
1484,1,20.53,100,17.332
