from bus,to bus,id,reactance,lower line limit,upper line limit
1,10,1,0.02155,-461,461
2,3,1,0.0275,-400,400
2,17,1,0.04215,-317,317
3,14,1,0.01547,-838,838
3,70,1,0.01,-158.96,158.96
4,5,1,6e-05,-1593,1593
6,4,1,0.06858,-250,250
4,65,1,0.00388,-831,831
4,77,1,0.01,-126.64,126.64
5,12,1,0.02795,-838,838
5,16,1,0.01553,-831,831
5,68,1,0.01,-149.53,149.53
23,6,1,-0.00422,-250,250
24,6,1,0.06982,-64.99,64.99
7,8,1,0.00021,-876,876
7,10,1,0.14254,-222,222
25,7,1,0.06524,-160,160
8,17,1,0.11277,-197,197
26,8,1,0.06715,-160,160
9,10,1,0.00021,-876,876
9,76,1,0.01,-83.7,83.7
11,10,1,0.0789,-243.53,243.53
10,66,1,0.01,-83.7,83.7
33,11,1,0.16709,-260,260
11,75,1,0.01,-83.7,83.7
12,69,1,0.01,-129.32,129.32
13,14,1,6e-05,-1593,1593
13,15,1,0.01768,-831,831
52,13,1,0.04206,-330,330
15,16,1,6e-05,-1593,1593
63,15,1,0.05969,-250,250
64,15,1,0.05969,-250,250
15,65,1,0.01165,-831,831
18,37,1,0.0679,-101,101
18,63,1,0.06954,-120,120
19,20,1,0.00083,-438,438
19,25,1,0.09752,-86,86
19,28,1,0.01736,-137,137
19,63,1,0.11818,-123,123
20,42,1,0.02314,-124,124
20,48,1,0.01074,-137,137
21,25,1,0.01529,-114,114
21,40,1,0.01529,-114,114
22,37,1,0.07107,-59.55,59.55
22,51,1,0.07107,-67.92,67.92
23,39,1,0.00413,-128,128
23,43,1,0.02231,-123,123
23,45,1,0.00413,-170.12,170.12
23,514,1,0.01,-229.86,229.86
25,49,1,0.00413,-128,128
25,61,1,0.06457,-123,123
25,62,1,0.00712,-123,123
26,35,1,0.02121,-123,123
26,119,1,0.01,-170.58,170.58
27,28,1,0.00083,-438,438
27,32,1,0.00413,-128,128
27,56,1,0.00347,-137,137
27,61,1,0.03471,-137,137
28,31,1,0.01273,-95,95
28,55,1,0.00413,-128,128
29,30,1,0.00465,-123,123
29,58,1,0.01332,-123,123
30,64,1,0.05552,-137,137
31,46,1,0.00934,-120,120
32,55,1,0.00413,-128,128
34,62,1,0.00434,-123,123
36,42,1,0.00926,-137,137
36,56,1,0.00694,-137,137
37,38,1,0.01372,-62,62
38,60,1,0.06099,-62,62
39,40,1,0.00083,-438,438
39,41,1,0.00413,-128,128
40,41,1,0.00413,-128,128
44,60,1,0.1281,-62,62
44,64,1,0.00496,-137,137
46,62,1,0.07683,-123,123
47,48,1,0.02066,-137,137
47,58,1,0.07322,-90,90
47,59,1,0.03636,-137,137
50,52,1,0.09356,-54.76,54.76
51,54,1,0.03306,-62.58,62.58
52,53,1,0.00083,-438,438
52,57,1,0.04718,-58.83,58.83
