bus,demand
1,89.79
5,32.47
15,11
16,5
17,52.71
18,6.93
19,14.65
20,8.14
21,14.17
22,4.22
26,31.97
27,5.22
28,2.61
29,0.01
30,0.01
31,15.67
32,16.78
34,4.22
35,9.95
36,10.85
37,14.67
38,7.54
39,2.11
40,2.11
41,8.74
42,5.73
43,43.38
44,9.45
45,42.03
46,15.67
47,19.89
48,8.34
49,16.78
50,13.14
51,5.22
53,68.66
54,9.45
55,8.34
57,19.16
58,30.44
59,18.89
60,11.55
61,17.78
70,32.47
76,42.84
80,11
81,5
82,52.71
83,6.93
84,14.65
85,8.14
86,14.17
87,4.22
88,61.49
91,3.95
92,5.22
93,2.61
94,0.01
95,0.01
96,15.67
97,16.78
99,4.22
100,9.95
101,10.85
102,14.67
103,7.54
104,2.11
105,2.11
106,8.74
107,5.73
108,43.11
109,9.45
110,42.03
111,15.67
112,19.89
113,8.34
114,16.78
115,13.14
116,5.22
118,68.66
119,9.45
120,8.34
122,19.16
123,30.44
124,18.89
125,11.55
126,17.78
131,40.59
136,8.38
137,4.83
139,11.55
140,13.16
141,26.04
142,12.56
143,4.72
144,9.45
145,10.15
150,17.78
151,8.04
152,0.01
153,73.33
154,62.9
156,8.34
157,5.12
158,15.17
159,13.66
160,8.94
161,13.99
162,9.45
163,11.55
164,3.92
165,16.28
166,12.46
168,12.56
169,23.61
170,0.1
171,0.1
172,9.45
173,13.56
174,6.83
175,4.72
176,6.33
177,4.12
178,0.01
179,44.31
180,6.33
181,61.44
183,33.51
184,19.91
185,12
186,12
189,33.41
190,18.51
191,14.74
193,32.23
194,81.5
198,10.84
199,129.48
201,6.56
202,9.38
203,12.5
204,15.73
205,18.77
206,17.19
208,83.04
209,14.59
210,50.24
214,54.98
216,11.06
217,11.46
218,11.46
219,80.63
220,8.13
221,61.27
222,11.56
224,48.79
225,16.9
226,13.06
227,0.01
228,27.71
230,634
234,21.69
235,5.25
236,1.58
239,1.22
240,-0.01
241,4.71
242,1.64
243,2.41
244,-101.4
249,12.26
250,5.07
251,4.06
253,4.03
254,6.48
256,4.82
257,1.85
258,8.98
260,20.95
262,9.01
264,0.95
266,1.43
268,67.07
269,3.32
270,0.08
272,2.27
274,5.15
276,1.76
277,2.43
279,2.33
284,1.7
286,2.97
287,4.38
288,2.2
290,10.44
293,287.69
295,-0.23
296,185.75
297,5.92
298,5.38
299,6.04
300,1.91
303,21.46
304,6.9
305,-0.03
306,3.13
307,7.6
308,3.69
313,8.42
314,1.57
316,3.7
317,4.48
318,7.04
319,10.28
322,3.53
325,2.39
329,8.3
331,0.56
332,-0.13
333,2.42
334,0.91
336,140.14
338,6.41
341,3.84
343,1.03
344,1.7
346,8.07
347,3.73
348,3.71
349,22.02
354,47.4
357,-2.75
360,3.74
361,33.58
362,36.48
365,47.66
366,46.69
367,5.07
374,60.69
375,48.35
376,104.9
377,10.84
379,35.95
380,17.88
386,44.54
389,32.49
392,22.57
393,59.67
399,11.77
405,9.14
406,87.91
408,77.48
409,79.46
410,23.49
411,94.59
412,40.87
413,107.89
414,71.03
415,8.73
416,365.9
418,9.38
420,26.58
421,23.25
423,7
424,8
425,115.89
426,1.16
429,4.28
430,5.48
432,9.76
433,8.23
434,1.87
435,3.34
436,13.52
439,4.81
440,23.61
442,5.46
444,9.62
452,1
453,4.49
455,80
456,5.23
457,1.92
458,53
459,6
460,2.78
461,38.75
462,0.43
464,2.78
465,5.83
466,8.12
467,0.43
469,44.89
470,1.6
471,1.07
472,6.53
473,9.23
474,4.81
475,18.91
476,7
477,9.09
481,2.94
483,14.55
484,11.23
485,6.38
486,8.31
487,0.85
489,0.66
490,0.53
492,10.37
493,2.57
495,5.35
497,7.26
499,2.99
500,6.42
503,5.99
505,4.54
506,4.28
508,3.64
509,4.27
512,0.75
513,1.28
515,4.6
517,4.6
518,12.19
519,18.16
522,3.85
524,5.31
525,7.42
526,2.15
528,11.82
529,11.21
530,4.13
531,2.57
532,34.37
533,0.53
537,47.76
538,273.04
540,104.43
544,572.99
545,32.16
546,46.36
547,60
548,1253.5
550,71.31
551,68.06
552,38.8
553,14.05
555,150.09
559,109.47
560,318.49
561,3.85
562,2.27
563,1.58
564,4.44
565,4.64
566,13.89
567,19.52
569,67
570,20
571,20.43
572,36.5
573,63.36
574,0.15
575,18.52
576,14.09
577,20.72
578,103.97
580,5.62
581,14.62
582,3.55
583,2.37
584,3.55
585,2.07
586,2.57
587,1.18
588,0.4
